NO_PRESTADOR;FANTASIA;NO_LIVRO;CEP;NUMERO;LOGRADOURO;BAIRRO;MUNICIPIO;UF;REGIAO_SAUDE;ESPECIALIDADES;DDD_TELEFONE1;TELEFONE1;DDD_TELEFONE2;TELEFONE2;DDD_CELULAR;CELULAR;DT_CREDENCIAMENTO
ANATOCENTER DIAGNOSTICO MEDICOS LTDA;ANATOCENTER DIAGNOSTICOS;Nome;97015-450;2355;RUA JOSÉ BONIFÁCIO;CENTRO;SANTA MARIA;RS;CRS 04 Santa Maria;PATOLOGIA / PATOLOGIA CLINICA / MEDICINA LABORATORIAL;55;33478997;;;;;05/07/2025 00:00
MULTI SABER LTDA;CLINICA SABER;Nome;87704-030;1440; ANTÔNIO FELIPE;CENTRO;PARANAVAI;PR;Paranavaí;PSICOLOGIA  / NUTRICAO / TERAPIA OCUPACIONAL / FISIOTERAPIA / FONOAUDIOLOGIA;44;20900040;;;44;998096098;05/07/2025 00:00
GASP GRUPO DE ANESTESIOLOGISTA DO SUDESTE DO PARA LTDA;GASP;Nome;68509-094;1;QUADRA QUATORZE;NOVA MARABÁ;MARABA;PA;Itacaiúnas Tocantins;ANESTESIOLOGIA;91;40082130;;;91;981416463;05/07/2025 00:00
LARISSA DE ALMEIDA RIBEIRO LTDA;VIVITY TERAPIA OCUOPACIONAL;Nome;84043-450;46;JOEL LAROCA;NOVA RUSSIA;PONTA GROSSA;PR;Ponta Grossa;TERAPIA OCUPACIONAL;;;;;42;998259671;05/07/2025 00:00
WALTERLAN DALTRO DA SILVA;CENTRO INTEGRADO DE SAUDE;Nome;44051-335;3803;AVENIDA GOVERNADOR JOÃO DURVAL CARNEIRO;SÃO JOÃO;FEIRA DE SANTANA;BA;Feira de Santana;CIRURGIA E TRAUMATOLOGIA BUCO-MAXILO-FACIAIS;75;32215915;;;75;988701285;05/07/2025 00:00
CLINICA MINDRA LTDA;CLINICA MINDRA;Nome;88705-060;126;RUA JOSÉ EVARISTO FOGAÇA;VILA MOEMA;TUBARAO;SC;Tubarão;ACUPUNTURA;49;36323081;;;;;05/07/2025 00:00
HWL MAIS CENTRO MEDICO BALSAS LTDA;HWL CLINICA MAIS CENTRO MEDICO LTDA;Fantasia;65800-000;820;RUA ANTONIO JACOBINA;CENTRO;BALSAS;MA;Gerais de Balsas;CIRURGIA ONCOLÓGICA / NEUROCIRURGIA  / REUMATOLOGIA  / CLÍNICA MÉDICA / PSICOLOGIA  / CARDIOLOGIA  / UROLOGIA  / OTORRINOLARINGOLOGIA  / MASTOLOGIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / CIRURGIA PLÁSTICA / OFTALMOLOGIA  / GINECOLOGIA E OBSTETRICIA  / CIRURGIA GERAL  / ENDOCRINOLOGIA E METABOLOGIA / NUTRICAO / ANESTESIOLOGIA  / CIRURGIA DO APARELHO DIGESTIVO / COLOPROCTOLOGIA;99;31999559;;;;;05/06/2025 00:00
LIA ALMEIDA MAPURUNGA;LIA ALMEIDA MAPURUNGA;Nome;62580-000;252;RUA DOS POETAS;CENTRO;ACARAU;CE;Acaraú;PSICOLOGIA;;;;;85;981667051;05/06/2025 00:00
PONTALTI E LESCANO - NUCLEO DE PSICOLOGIA LTDA;DIALOGOS - NUCLEO DE PSICOLOGIA;Nome;79020-190;1150;RUA ABRÃO JÚLIO RAHE;CENTRO;CAMPO GRANDE;MS;NCT de Campo Grande;PSICOLOGIA;;;;;67;981758334;05/06/2025 00:00
M B CLINICA DE SAUDE LTDA;CLINICAS INTEGRADAS GERAMED;Nome;78700-200;1545;AVENIDA BANDEIRANTES;CENTRO;RONDONOPOLIS;MT;Rondonópolis;NEFROLOGIA  / NEUROLOGIA  / NUTROLOGIA / PATOLOGIA / GERIATRIA   / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / ORTOPEDIA E TRAUMATOLOGIA  / OTORRINOLARINGOLOGIA  / ENDOCRINOLOGIA E METABOLOGIA / CARDIOLOGIA  / GASTROENTEROLOGIA  / REUMATOLOGIA  / COLOPROCTOLOGIA / CIRURGIA GERAL  / NEUROCIRURGIA  / MASTOLOGIA  / NUTRICAO / CLÍNICA MÉDICA / DERMATOLOGIA   / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / UROLOGIA  / GINECOLOGIA E OBSTETRICIA  / MEDICINA DO TRABALHO / OFTALMOLOGIA  / PSICOLOGIA  / PSIQUIATRIA  / FISIOTERAPIA / FONOAUDIOLOGIA  / PNEUMOLOGIA;66;34392220;;;66;996860631;05/06/2025 00:00
CLINICA MULTIDICIPLINAR SERSINAPSI LTDA;CLINICA MULTIDICIPLINAR SERSINAPSI SAO VICENTE;Nome;11310-050;825;RUA JOÃO RAMALHO;CENTRO;SAO VICENTE;SP;Baixada Santista;PSICOLOGIA;;;;;13;997431112;05/06/2025 00:00
INTEGRARE NUCLEO DE DESENVOLVIMENTO INFANTO JUVENIL E FAMILIAR LTDA;INTEGRARE;Nome;48005-032;44;RUA NAIR FARIAS DE OLIVEIRA;PARQUE VERDE;ALAGOINHAS;BA;Alagoinhas;TERAPIA OCUPACIONAL / PSICOLOGIA  / FONOAUDIOLOGIA  / NUTRICAO / FISIOTERAPIA;;;;;75;999235755;05/06/2025 00:00
CARE MED SOLUTIONS LTDA;CARE MED SOLUTIONS;Nome;77020-574;2;ARSE 23 ALAMEDA 15;PLANO DIRETOR SUL;PALMAS;TO;Região de Saúde do Capim Dourado;REMOCOES;63;33221423;;;63;992187007;05/06/2025 00:00
CLINICA DE FISIOTERAPIA ALINE MOREIRA LTDA;CLINICA DE FISIOTERAPIA;Nome;63505-415;1201;RUA MUNDIM TEIXEIRA;ALTIPLANO;IGUATU;CE;Iguatu;FISIOTERAPIA / NUTRICAO / PSICOLOGIA;88;21436670;;;;;05/05/2025 00:00
N M PSICOLOGIA LTDA;CLINICA VIA DA ESCUTA;Nome;85810-010;3033;RUA PARANÁ;CENTRO;CASCAVEL;PR;Cascavel;PSICOLOGIA;;;;;45;999654703;05/05/2025 00:00
W DA S WILL CONSULTORIA CLINICA E EMPRESARIAL;LACOS CLINICA DE TERAPIAS MULTIDISCIPLINAR;Nome;76980-068;4300;AVENIDA CAPITÃO CASTRO;CENTRO (S-01);VILHENA;RO;III Delegacia Regional de Saúde;TERAPIA OCUPACIONAL / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / FONOAUDIOLOGIA  / PSICOLOGIA;69;33210783;;;;;05/05/2025 00:00
CCM COGNIT CENTRO MULTIDISCIPLINAR LTDA;CCM COGNIT CENTRO MULTIDISCIPLINAR LTDA;Nome;11045-000;532;AVENIDA CONSELHEIRO NÉBIAS;ENCRUZILHADA;SANTOS;SP;Baixada Santista;PSICOLOGIA  / FONOAUDIOLOGIA;13;22021898;;;;;05/05/2025 00:00
GYNE CENTRO MEDICO LTDA;GYNE CENTRO MEDICO;Nome;39803-145;650;AVENIDA DOUTOR JÚLIO RODRIGUES;MARAJOARA;TEOFILO OTONI;MG;Teófilo Otoni;GINECOLOGIA E OBSTETRICIA;33;35222364;;;;;05/05/2025 00:00
ANDREIA LIMA DINIZ LTDA;ANDRÉIA LIMA DINIZ LTDA;Nome;56903-440;939;RUA CORONEL CORNÉLIO SOARES;NOSSA SENHORA DA PENHA;SERRA TALHADA;PE;Serra Talhada;ACUPUNTURA;;;;;87;981001932;05/05/2025 00:00
MD ODONTOLOGIA INTEGRADA LTDA ME;MD ODONTOLOGIA;Nome;41800-700;3244;AVENIDA ANTÔNIO CARLOS MAGALHÃES;PITUBA;SALVADOR;BA;Salvador;CIRURGIA E TRAUMATOLOGIA BUCO-MAXILO-FACIAIS;71;34940909;;;;;05/05/2025 00:00
CMSP - CENTRO MULTIDISCIPLINAR DE SERVICOS PEDAGOGICOS;CLINICA AFLORAR;Fantasia;50050-540;797;AVENIDA VISCONDE DE SUASSUNA;SANTO AMARO;RECIFE;PE;Recife;ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / PSICOLOGIA  / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / NUTRICAO / FISIOTERAPIA;81;31047475;;;81;986809388;05/05/2025 00:00
SOS ORTO SERVICOS MEDICOS LTDA;SOS ORTO MEMORIAL;Nome;58040-490;202;AVENIDA RUI BARBOSA;TORRE;JOAO PESSOA;PB;I Núcleo Regional de Saúde;ORTOPEDIA E TRAUMATOLOGIA;;;;;83;981448383;05/05/2025 00:00
DIIMUNO CENTRO DE DOENCAS INFLAMATORIAS INTESTINAIS;DIIMUNO;Nome;90480-000;700;AVENIDA CARLOS GOMES;BOA VISTA;PORTO ALEGRE;RS;CRS 01 Porto Alegre;COLOPROCTOLOGIA / REUMATOLOGIA  / DERMATOLOGIA   / GASTROENTEROLOGIA  / PSICOLOGIA  / NUTRICAO;51;33921212;51;32731212;;;05/02/2025 00:00
GRAZIELE MARTINS DA ROSA;;Nome;96015-280;778;RUA GENERAL NETO;CENTRO;PELOTAS;RS;CRS 03 Pelotas;PSICOLOGIA;;;;;53;991724503;05/02/2025 00:00
S D NUTRICAO LTDA;SAMANTA DOURADO;Nome;78890-030;2411;RUA DOS DESBRAVADORES;BELA VISTA;SORRISO;MT;Sinop;NUTRICAO;;;;;66;996750988;4/30/2025 12:00:00 AM
HOSPITAL OTOCENTRO DE LONDRINA LTDA;OTOCENTRO CENTRO DE OTORRINO LTDA;Nome;86015-300;635;RUA MARTIN LUTHER KING;LAGO PARQUE;LONDRINA;PR;Londrina;OTORRINOLARINGOLOGIA  / FONOAUDIOLOGIA  / OFTALMOLOGIA;43;33241212;;;;;4/30/2025 12:00:00 AM
OFTALMOLOGIA DUMARESQ LTDA;OFTALMOLOGIA DUMARESQ;Nome;59075-810;3700;AVENIDA AMINTAS BARROS;LAGOA NOVA;NATAL;RN;Grande Natal;OFTALMOLOGIA;84;32318001;;;84;998981600;4/30/2025 12:00:00 AM
JULIANA DA SILVA SANTOS MACEDO LTDA;JANELA SAUDE E DESENVOLVIMENTO;Nome;49020-330;305;RUA JOVENTINA ALVES;SALGADO FILHO;ARACAJU;SE;Região Aracaju;PSICOLOGIA  / FISIOTERAPIA / FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL;;;;;79;998296095;4/30/2025 12:00:00 AM
NEOCENTER UTIP;NEOCENTER UTIP;Nome;30110-934;9530;AVENIDA DO CONTORNO, 9530;BARRO PRETO;BELO HORIZONTE;MG;Belo Horizonte;HEMATOLOGIA E HEMOTERAPIA / UROLOGIA  / ALERGIA E IMUNOLOGIA  / CARDIOLOGIA  / CIRURGIA VASCULAR / ENDOCRINOLOGIA E METABOLOGIA / ORTOPEDIA E TRAUMATOLOGIA  / ENDOSCOPIA / NEUROCIRURGIA  / REUMATOLOGIA  / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / NEFROLOGIA  / CIRURGIA DA MÃO / NEUROLOGIA  / PSICOLOGIA  / CIRURGIA DO APARELHO DIGESTIVO / PNEUMOLOGIA  / INFECTOLOGIA  / CIRURGIA GERAL  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / MEDICINA INTENSIVA / CIRURGIA PLÁSTICA / CIRURGIA TORACICA  / MEDICINA NUCLEAR  / CIRURGIA PEDIATRICA  / CIRURGIA CARDIOVASCULAR  / GASTROENTEROLOGIA  / CIRURGIA DE CABEÇA E PESCOÇO / COLOPROCTOLOGIA / CLÍNICA MÉDICA / GENETICA MÉDICA / FISIOTERAPIA / FONOAUDIOLOGIA  / PATOLOGIA / PEDIATRIA  / DERMATOLOGIA   / ANESTESIOLOGIA;31;33353503;;;;;4/29/2025 12:00:00 AM
ESPACO INTEGRAR LTDA;ESPACO INTEGRAR LTDA;Nome;79805-030;995;RUA CIRO MELO;JARDIM CENTRAL;DOURADOS;MS;NCT de Dourados;FONOAUDIOLOGIA  / PSICOLOGIA;;;;;67;991162323;4/29/2025 12:00:00 AM
CLINICA DE TERAPIAS INDIVIDUAIS PERSONALIZADAS LTDA;CLINICA DE TERAPIAS INDIVIDUAIS PERSONALIZADAS;Nome;80430-061;1020;RUA PADRE ANCHIETA;MERCÊS;CURITIBA;PR;Metropolitana;PSICOLOGIA  / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA;41;30953888;;;;;4/29/2025 12:00:00 AM
UNIMED BOTUCATU COOPERATIVA DE TRABALHO;HOSPITAL UNIMED BOTUCATU II;Nome;18602-295;1178;RUA EMÍLIO CANI;VILA MOREIRA;BOTUCATU;SP;Bauru;EVENTOS CLINICOS - ASSISTENCIA HOSPITALAR  / GASTROENTEROLOGIA  / REUMATOLOGIA  / OTORRINOLARINGOLOGIA  / CIRURGIA GERAL  / PNEUMOLOGIA  / FISIOTERAPIA / NEFROLOGIA  / UROLOGIA  / GINECOLOGIA E OBSTETRICIA  / CIRURGIA TORACICA  / PEDIATRIA  / CIRURGIA DA MÃO / CLÍNICA MÉDICA / OFTALMOLOGIA  / MASTOLOGIA  / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / PATOLOGIA / INFECTOLOGIA  / CIRURGIA VASCULAR / NEUROCIRURGIA  / CIRURGIA CARDIOVASCULAR  / CIRURGIA ONCOLÓGICA / NEUROLOGIA  / ONCOLOGIA CLÍNICA / ANESTESIOLOGIA  / HEMATOLOGIA E HEMOTERAPIA / ANGIOLOGIA / MEDICINA NUCLEAR  / COLOPROCTOLOGIA / MEDICINA FISICA E REABILITACAO  / CIRURGIA DE CABEÇA E PESCOÇO / CARDIOLOGIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / ENDOSCOPIA / CIRURGIA PEDIATRICA  / ENDOCRINOLOGIA E METABOLOGIA / CIRURGIA DO APARELHO DIGESTIVO / ORTOPEDIA E TRAUMATOLOGIA  / CIRURGIA PLÁSTICA;14;38114500;;;;;4/29/2025 12:00:00 AM
CAMILLA DE ALMEIDA SOARES;CAMILLA DE ALMEIDA SOARES;Nome;79825-030;1207;RUA MELVIN JONES;VILA PROGRESSO;DOURADOS;MS;NCT de Dourados;NUTRICAO;;;;;67;992864121;4/29/2025 12:00:00 AM
INSTITUTO DE CARDIOLOGIA ECOVILLE LTDA;INSTITUTO DE CARDIOLOGIA ECOVILLE;Nome;80240-290;438;RUA HERCULANO CARLOS FRANCO DE SOUZA;ÁGUA VERDE;CURITIBA;PR;Metropolitana;CARDIOLOGIA  / ENDOCRINOLOGIA E METABOLOGIA;41;33000909;;;;;4/28/2025 12:00:00 AM
LABORATORIO BOMCONSELHENSE DE ANALISES CLINICAS LTDA;LABOCLIN;Nome;55330-000;41;R FREI CANECA;CENTRO;BOM CONSELHO;PE;Garanhuns;PATOLOGIA CLINICA / MEDICINA LABORATORIAL;;;;;87;999615367;4/28/2025 12:00:00 AM
MARINA ROCHA PORDEUS DOS SANTOS;MARINA ROCHA PORDEUS DOS SANTOS;Nome;58802-093;11;RUA JOSÉ MARTINS IRMÃO;GATO PRETO;SOUSA;PB;X Núcleo Regional de Saúde;NUTRICAO;;;;;83;991958159;4/28/2025 12:00:00 AM
LAURA EMILIA SOUZA DA SILVA SOARES;LAURA EMILIA SOUZA DA SILVA SOARES;Nome;79500-000;20;RUA JOSE CANDIDO ALVES;JARDIM IMPERIAL;PARANAIBA;MS;NCT de Paranaíba;PSICOLOGIA;;;;;67;996662667;4/28/2025 12:00:00 AM
AFETTO CENTRO DE ATENDIMENTO E SERVICOS EM PSICOLOGIA LTDA;AFETTO CENTRO DE ATENDIMENTO E SERVICOS EM PSICOLO;Nome;79022-260;123;RUA TANGARÁ;VILA RICA;CAMPO GRANDE;MS;NCT de Campo Grande;PSICOLOGIA;;;;;67;993096420;4/28/2025 12:00:00 AM
CENEFFI- CENTRO DE ESTUDOS E FISIOTERAPIA PARA FUNCIONALIDADE E INTEGR;;Nome;90430-000;322;RUA MOSTARDEIRO;MOINHOS DE VENTO;PORTO ALEGRE;RS;CRS 01 Porto Alegre;FONOAUDIOLOGIA  / FISIOTERAPIA / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / TERAPIA OCUPACIONAL / PSICOLOGIA  / NUTRICAO;51;32224198;;;51;995068083;4/25/2025 12:00:00 AM
GERF GRUPO ESPECIALIZADO EM REABILITACAO;GERF GRUPO ESPECIALIZADO EM REABILITACAO;Nome;50030-230;54;RUA VISCONDESSA DO LIVRAMENTO;RECIFE;RECIFE;PE;Recife;FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / PSICOLOGIA  / FISIOTERAPIA;81;32218787;;;;;4/25/2025 12:00:00 AM
ROBERTA VARELA BARBOSA;ROBERTA VARELA BARBOSA;Nome;88103-050;607;RUA COLETOR IRINEU COMELLI;CENTRO;SAO JOSE;SC;Grande Florianópolis;FISIOTERAPIA;;;;;48;996788366;4/24/2025 12:00:00 AM
ESPACO CAMINHAR DE DESENVOLVIMENTO INFANTIL LTDA;ESPACO CAMINHAR;Nome;69053-600;20;RUA LÁPIS LAZÚLI;NOSSA SENHORA DAS GRAÇAS;MANAUS;AM;Entorno de Manaus;PSICOLOGIA  / FISIOTERAPIA / FONOAUDIOLOGIA  / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / TERAPIA OCUPACIONAL;;;;;92;986056262;4/24/2025 12:00:00 AM
MEDIX CLINICA MEDICA ESPECIALIZADA LTDA;MEDIX CLINICA MEDICA ESPECIALIZADA;Nome;88350-130;20;RUA MELCHIOR HEIL;CENTRO I;BRUSQUE;SC;Brusque;COLOPROCTOLOGIA / CIRURGIA DE CABEÇA E PESCOÇO / FISIOTERAPIA / CIRURGIA GERAL  / CARDIOLOGIA  / CIRURGIA ONCOLÓGICA / NUTRICAO / GINECOLOGIA E OBSTETRICIA  / ANESTESIOLOGIA  / PSIQUIATRIA  / CIRURGIA VASCULAR / ORTOPEDIA E TRAUMATOLOGIA  / NEUROCIRURGIA  / INFECTOLOGIA  / UROLOGIA;;;;;18;981518642;4/23/2025 12:00:00 AM
ORTOFISIO CLINICA DE ORTOPEDIA E FISIOTERAPIA ALMENARA LTDA;ORTOFISIO;Nome;39900-000;455;SEVERIANO COUTINHO;CENTRO;ALMENARA;MG;Pedra Azul;FISIOTERAPIA / ORTOPEDIA E TRAUMATOLOGIA;33;37211266;;;;;4/22/2025 12:00:00 AM
INFANCE - CLINICA ESPECIALIZADA EM ATENDIMENTO INFANTO-JUVENIL LTDA;INFANCE CLINICA ESPECIALIZADA;Nome;58900-000;70;JOSE CARTAXO ANDRIOLA;SANTA CECILIA;CAJAZEIRAS;PB;IX Núcleo Regional de Saúde;TERAPIA OCUPACIONAL / PEDIATRIA  / FONOAUDIOLOGIA  / FISIOTERAPIA / PSICOLOGIA;;;;;83;993664175;4/22/2025 12:00:00 AM
ANGIOPED LTDA ME;ANGIOPED;Nome;59611-010;100;RUA PEDRO VELHO;SANTO ANTÔNIO;MOSSORO;RN;II ETAM;CIRURGIA VASCULAR / PNEUMOLOGIA  / ALERGIA E IMUNOLOGIA  / ANGIOLOGIA;84;33168012;;;;;4/22/2025 12:00:00 AM
JESSICA FERNANDES NOMINATO LTDA;NOMINATO SERVICOS MEDICOS;Nome;77015-550;0;QUADRA ACSU SO 40 AVENIDA JOAQUIM TEOTÔNIO SEGURAD;PLANO DIRETOR SUL;PALMAS;TO;Região de Saúde do Capim Dourado;PEDIATRIA  / INFECTOLOGIA;;;;;63;981442685;4/18/2025 12:00:00 AM
JULIANO SOARES RABELLO MOREIRA;;Nome;95913-148;300;AVENIDA PIRAÍ;SÃO CRISTÓVÃO;LAJEADO;RS;CRS 16 Lajeado;MEDICINA DA FAMÍLIA E COMUNIDADE;;;;;51;999678165;4/18/2025 12:00:00 AM
ANA CAROLINA DEMARCO ROLDAN;NIP NUCLEO DE INTERVENCAO PRECOCE;Nome;96020-380;621;RUA SANTOS DUMONT;CENTRO;PELOTAS;RS;CRS 03 Pelotas;PSICOLOGIA  / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / FISIOTERAPIA;53;32214716;;;53;984070749;4/17/2025 12:00:00 AM
INSTITUTO PARAIBANO DO CEREBRO LTDA;INSTITUTO DO CEREBRO;Nome;58030-040;854;SAO PAULO;ESTADOS;JOAO PESSOA;PB;I Núcleo Regional de Saúde;NEUROLOGIA;83;32228050;83;32228050;83;991067464;4/17/2025 12:00:00 AM
CLINICA DO PANTANAL LTDA;CLINICA PANTANAL;Nome;79400-000;10;SALVINA MARIA DO CARMO;FLAVIO GARCIA;COXIM;MS;NCT de Coxim;MEDICINA DA FAMÍLIA E COMUNIDADE / MEDICINA FISICA E REABILITACAO;;;;;67;999997312;4/17/2025 12:00:00 AM
R B CLINICA DE TERAPIAS AVANCADAS LTDA;CLIAP KIDS;Nome;59075-730;1439;RUA CONSELHEIRO MORTON FARIA;LAGOA NOVA;NATAL;RN;Grande Natal;FONOAUDIOLOGIA  / NUTRICAO / FISIOTERAPIA / PSICOLOGIA  / TERAPIA OCUPACIONAL;84;42030403;;;;;4/17/2025 12:00:00 AM
IVER INSTITUTO VASCULAR E ENDOVASCULAR DE RONDONIA;IVER INSTITUTO VASCULAR E ENDOVASCULAR DE RONDONIA;Nome;76801-270;1600;RUA SENADOR ÁLVARO MAIA;OLARIA;PORTO VELHO;RO;Departamento de Epidemiologia;CIRURGIA VASCULAR;69;32291205;;;69;999364230;4/17/2025 12:00:00 AM
EFETIVAMENTE CENTRO DE ESPECIALIDADES INTEGRADAS;EFETIVAMENTE CENTRO DE ESPECIALIDADES INTEGRADAS;Nome;82800-000;1262;AVENIDA VICTOR FERREIRA DO AMARAL;TARUMÃ;CURITIBA;PR;Metropolitana;ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / TERAPIA OCUPACIONAL / FISIOTERAPIA / PSICOLOGIA  / FONOAUDIOLOGIA;41;30000000;;;41;984231237;4/17/2025 12:00:00 AM
CLINICA VIVACE LTDA;VIVACE;Nome;68180-410;150;AVENIDA MARANHÃO;BELA VISTA;ITAITUBA;PA;Rio Tapajós;FISIOTERAPIA;;;;;93;992250009;4/16/2025 12:00:00 AM
CLINICA MEDIAR PAULISTA SERVICOS MEDICOS DIAGNOSTICOS E TERAPEUTICOS L;MEDIAR;Nome;53401-445;242;RODOVIA PE-15;CENTRO;PAULISTA;PE;Recife;PSICOLOGIA  / CLÍNICA MÉDICA / PSIQUIATRIA;81;34658209;;;81;932995036;4/16/2025 12:00:00 AM
C S MELO LTDA;ESPACO TERAPEUTICO CATIVAR;Nome;65900-543;1156;RUA TREZE DE MAIO;CENTRO;IMPERATRIZ;MA;Tocantins;PSICOLOGIA  / FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL;;;;;99;985122534;4/16/2025 12:00:00 AM
CAPSI CENTRO DE ATENDIMENTO PSICOLOGICO INTEGRADO LTDA;CAPSI CENTRO DE ATENDIMENTO PSICOLOGICO;Nome;90020-007;1091;RUA DOS ANDRADAS;CENTRO HISTÓRICO;PORTO ALEGRE;RS;CRS 01 Porto Alegre;PSICOLOGIA  / NUTRICAO;51;32263099;;;;;4/16/2025 12:00:00 AM
SANTOS FURTAT SERVICOS MEDICOS LTDA - EPP;CLINICA VASCULAR DR LUIZ CARLOS FURTAT JR;Fantasia;78040-400;8000;AV. MIGUEL SUTIL;JARDIM MARIANA;CUIABA;MT;Baixada Cuiabana;ANGIOLOGIA E CIRURGIA VASCULAR   / ANGIOLOGIA / CIRURGIA VASCULAR;65;30542325;;;65;996161028;4/16/2025 12:00:00 AM
JOSE VALDIR PESSOA NETO;;Nome;60160-230;1312;AVENIDA DOM LUÍS, 1233;MEIRELES;FORTALEZA;CE;Fortaleza;CIRURGIA E TRAUMATOLOGIA BUCO-MAXILO-FACIAIS;;;;;85;996253790;4/16/2025 12:00:00 AM
VITAL ALVES LTDA;CICATRICLIN;Nome;77015-595;0;ARSO 41 ALAMEDA 32;PLANO DIRETOR SUL;PALMAS;TO;Região de Saúde do Capim Dourado;INFECTOLOGIA  / TÉCNICO DE ENFERMAGEM / ANGIOLOGIA / ENFERMAGEM  / CLÍNICA MÉDICA / ORTOPEDIA E TRAUMATOLOGIA;;;;;63;991377461;4/16/2025 12:00:00 AM
PINHO TAVARES E LEAO SERVICOS MEDICOS LTDA;INSTITUTO DE OLHOS GUANHAES IOG;Nome;39740-000;460;AVENIDA ALBERTO CALDEIRA;;GUANHAES;MG;Itabira;OFTALMOLOGIA;33;34212817;;;;;4/15/2025 12:00:00 AM
CENTRO DE ESPECIALIDADES CLINICAS LTDA;CEC - CENTRO DE ESPECIALIDADES CLINICAS;Nome;88101-050;34;RUA ELIZEU DI BERNARDI;CAMPINAS;SAO JOSE;SC;Grande Florianópolis;FONOAUDIOLOGIA  / PEDIATRIA  / NUTRICAO / CLÍNICA MÉDICA / PSIQUIATRIA  / PSICOLOGIA;;;;;48;999329006;4/15/2025 12:00:00 AM
RENATA MACHADO VALERIO;RENATA VALÉRIO;Nome;96200-370;436;RUA GENERAL BACELAR;CENTRO;RIO GRANDE;RS;CRS 03 Pelotas;PSICOLOGIA;;;;;53;999195419;4/15/2025 12:00:00 AM
MAKARIOS CENTRO TERAPEUTICO BRINCANTO LTDA;MAKARIOS CENTRO TERAPEUTICO BRINCANTO;Nome;69053-020;14;AVENIDA RIO JUTAÍ;NOSSA SENHORA DAS GRAÇAS;MANAUS;AM;Entorno de Manaus;PSICOLOGIA  / FONOAUDIOLOGIA  / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / FISIOTERAPIA / TERAPIA OCUPACIONAL;;;;;92;986276742;4/15/2025 12:00:00 AM
SKOPEO MEDICINA E DIAGNOSTICO LTDA;SKOPEO MEDICINA E DIAGNOSTICO LTDA;Nome;88340-356;333;RUA CORONEL BENJAMIN VIEIRA;CENTRO;CAMBORIU;SC;Balneário Camboriú;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;;;;;47;989142980;4/14/2025 12:00:00 AM
NEND - NUCLEO ESPECIALIZADO EM NEURODESENVOLVIMENTO LTDA;NEND - NUCLEO ESPECIALIZADO EM NEURODESENVOLVIMENT;Nome;88701-001;2526;AVENIDA MARCOLINO MARTINS CABRAL;CENTRO;TUBARAO;SC;Tubarão;TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / FISIOTERAPIA / PSICOLOGIA;;;;;48;996117715;4/14/2025 12:00:00 AM
J A SERVICOS MEDICOS LTDA;INSIGHT CLINIC;Nome;65800-000;242;RUA ISAAC MARTINS;CENTRO;BALSAS;MA;Gerais de Balsas;PSICOLOGIA  / TERAPIA OCUPACIONAL / PSIQUIATRIA  / FONOAUDIOLOGIA;;;;;99;996459665;4/14/2025 12:00:00 AM
OTORRINO CLINICA E CIRURGIA LTDA;OTORRINO CLINICA E CIRURGIA;Nome;37830-150;323;RUA DOUTOR ANTÔNIO DOS SANTOS CORAGEM;CENTRO;GUAXUPE;MG;Alfenas;OTORRINOLARINGOLOGIA;;;;;35;998000903;4/14/2025 12:00:00 AM
PROTOCLINIC LTDA;PROTOCLINIC;Nome;62580-000;455;AV NICODEMOS ARAUJO;CENTRO;ACARAU;CE;Acaraú;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / ENDOCRINOLOGIA E METABOLOGIA / CARDIOLOGIA  / CLÍNICA MÉDICA / UROLOGIA  / CIRURGIA TORACICA  / CIRURGIA GERAL;;;;;88;999490720;4/14/2025 12:00:00 AM
CLINICA LAISE FONTELLES LTDA;CLÍNICA LAISE FONTELLES;Nome;66093-672;700;AVENIDA RÔMULO MAIORANA;MARCO;BELEM;PA;Metropolitana;GINECOLOGIA E OBSTETRICIA  / OTORRINOLARINGOLOGIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;91;33513332;;;91;984311166;4/14/2025 12:00:00 AM
